timestamp,egg_id,x1,y1,x2,y2,confidence,class,diameter_px,diameter_mm,size_category,weight_g
2026-04-13T14:19:36.094514,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.129854,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.129918,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.162432,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.162497,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.197461,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.197608,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.229378,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.229543,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.263601,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.263771,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.297318,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.297523,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.329539,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.329699,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.364426,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.364611,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.398399,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.398567,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.433457,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.433633,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.463809,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.463881,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.496661,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.496801,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.532726,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.532896,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.563868,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.564007,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.598134,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.598294,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.630575,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.630716,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.666945,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.667099,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
2026-04-13T14:19:36.696627,0,0,22,820,720,0.7067,egg,820,820.0,Large,80
2026-04-13T14:19:36.696740,1,748,18,1280,720,0.4025,egg,702,702.0,Large,80
